Sorted list of BTC addresses
BTC address;Amount (Satoshi)
3PPFsZgwkoL2p5pPsrwff2yJY5TPT7WrWR;143616
134npG4jzwgi521FXhckmLfNBpfAhCJBCW;126708
142Gi87KERfLa1Qfvj8qkTBofVuuUZZVu3;125361
1J1L7uvLittHXCRTPjbjYUFMVPtJMXPVsr;122475
121UBg5voGzZ9Uaog5J6gHAAx2fv7MTNpv;115544
3K18UkwuGPx9QgK6Nu197Yrke5M3sGve2V;107834
1Ezns8MJ8EjM2Zd2uLF7HdwX4sjc3xTa3e;99765
1AtTsjLbCpfxgnj8Ry79RU7nRSMUBSsNNj;97000
15VPP5Vrtcg8TTVPiHLkokeZpyMzZ5k2Ja;84700
3QM9ej8be2figuhfEuQ6PXqrdnoEiDDG57;82480
3E72YJZLf7tF3Djor8GyHh48azxkdpnVFA;75071
16TYeubYswnYZMyTJ2p1z3Cygtqz3W677k;66742
3EmZXp9t9CsJPV7FrzrCRaeKVhbv4rUwRg;57143
1NoSgeocFPN2Yxg7zGTCJ9SHoN2F9oGiDT;55710
197h37Nf67gPuwi7Fa8xg7bGDsbN1T6UMc;50000
3A27seVtHboSof1ZGgYF2jNDBLdirEMUkk;45000
192DQXNaEUXgAMaPh4CnTKdGgmbsiDo3Qd;31575
1BJCm4R6cfzZQWe7adqRYDaJj1n2cJW8Za;30090
3HjonrGadJeryu6Feg3pJFjBLLoGfbQMb1;26051
1Hn7khpZDsankYyXD6NpU9MskG6a8UvdFu;20612
174b35ykEj7xx76W8Qm8woWu6SupxHZ1RP;20000
1HkWrzSPTv6LTqP7X2crPhsQb6uXEraHw5;11351
1LGzYs2cL29tF1JvoK2BYuDcV7bQREDwTK;10103
1KavqZzfjSftbTvPVfVEZ564pgxYz6rbXP;10000
1K1rBKf7W7RFDsPusyrhH61KP71VqjSRLG;10000
361xaPmtaMrfEwHRC8N8AVur3gd7tE2bdw;7546
31nHzFygJJgvDmactThKoUMaGDPTDxSq8h;5507
3EVZBRwyertHcQE8MZx1V1VR4vq5Y6if6v;5000
1A3X3bmiNjRg56kK1WrCowNXe7tXQrb6Zo;2536
1BY59mYV1nqmkcUjbVPA4mzK52CuPipn2N;1000
13DmqnVDh9EwKoJdGCjkad4ZNQUKwiTnAV;1000
129Rr3DKu6Eeqraq3svJ7Gq4EAZ2nbSZZs;0
129RLtA3FeuoHfcLsNGh75EedZXt15vy8n;0
129qXiyYAtBYJSXAjwzWc7va2c5mRfqS8Y;0
129qG1TZmxnnuC8pV25gVpA6uQqLJoMeZv;0
129QEazEHMRLQ6WhGJShMHJV6NFKSvDCG9;0
