PlayStore ID,App Name,In-App Purchases,Downloads
com.beyondapps.palmreader.horoscope.tarot.faceage.palmistry,"Palm Expert - Palmistry, Horoscope & Tarot Reading",$49.99 - $89.99 per item,"100,000"
com.astrology.soular.star,Soular,$22.99 - $94.99 per item,"100,000"
com.palm.astrology,Astrology & Palm Master,$23.99 - $94.99 per item,"100,000"
face.yoga.skincare.app,Facetory: Face Yoga & Facial Exercises,$7.99 - $49.99 per item,"100,000"
com.conceptivapps.blossom,Blossom - Plant Identification app,$6.99 - $19.99 per item,"100,000"
com.gismart.relax,Music Zen - Relaxing Sounds,$4.99 - $49.99 per item,"100,000"
pdf.document.reader,PDF Document Reader,$14.99 - $59.99 per item,"100,000"
com.facemetrics.daystress.relief,🍑DayStress Relief: Relaxation & Antistress app,$0.99 - $64.99 per item,"50,000"
com.pixeland.tarot.time.card.reading.daily.horoscope,Tarot Numerology: card reading,$39.99 per item,"50,000"
com.harmonybit.horoscope,"Astrospot: horoscope matches, daily predictions",$9.99 - $89.99 per item,"50,000"
com.slime.simulator.games,Perfect Slime Simulator - ASMR & Satisfying game,$24.99 - $49.99 per item,"50,000"
horoscope.pro,Face Scan: Horoscope & Astrology,$19.99 - $74.99 per item,"50,000"
,,,
PlayStore Estimated Download Total,,,"359,950,000"
,,,
SensorTower Estimated Download Total,,,"500,000,000"
,,,
SensorTower Estimated Revenue Total,,"$38,500,000",
